idCarpeta,Dia,Mes,Año,Fecha,Hora,Delito,CalidadJuridica,Categoria,Colonia,Alcalia,Sexo,Edad,TipoPersona,longitud,latitud
8435664.0,5.0,Mayo,2019.0,23/05/2019,76800.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,VICTIMA Y DENUNCIANTE,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,TENANTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,50.0,FISICA,-98.99575,19.22064
8435664.0,5.0,Mayo,2019.0,23/05/2019,76800.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,VICTIMA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,TENANTITLA (SAN ANTONIO TECOMITL),MILPA ALTA,Masculino,17.0,FISICA,-98.99575,19.22064
8335978.0,1.0,Enero,2019.0,19/01/2019,41400.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,PANCHIMALCO (SAN PEDRO ATOCPAN),MILPA ALTA,Femenino,28.0,FISICA,-99.04573,19.20105
8336861.0,1.0,Enero,2019.0,20/01/2019,73800.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN JOSÉ (SANTA ANA TLACOTENCO),MILPA ALTA,Femenino,49.0,FISICA,-99.00418,19.17948
8337100.0,1.0,Enero,2019.0,20/01/2019,84600.0,ROBO A NEGOCIO SIN VIOLENCIA,AGRAVIADO,DELITO DE BAJO IMPACTO,SANTA CRUZ (VILLA MILPA ALTA),MILPA ALTA,,,MORAL,-99.01291,19.19903
8337563.0,1.0,Enero,2019.0,21/01/2019,46800.0,ROBO A CASA HABITACION SIN VIOLENCIA,OFENDIDO Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN JOSÉ (SANTA ANA TLACOTENCO),MILPA ALTA,Femenino,34.0,FISICA,-99.0044,19.17953
8337651.0,9.0,Septiembre,2018.0,02/09/2018,46800.0,USURPACIÓN DE IDENTIDAD,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,Pueblo San Antonio Tecomitl (LAS JOYAS),MILPA ALTA,Femenino,48.0,FISICA,-98.98481,19.20961
8338404.0,1.0,Enero,2019.0,22/01/2019,43200.0,VIOLENCIA FAMILIAR,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,LA CONCEPCIÓN (VILLA MILPA ALTA),MILPA ALTA,Femenino,24.0,FISICA,-99.01946,19.19253
8338656.0,1.0,Enero,2019.0,22/01/2019,69300.0,LESIONES CULPOSAS,VICTIMA,DELITO DE BAJO IMPACTO,LA CONCEPCIÓN (VILLA MILPA ALTA),MILPA ALTA,Femenino,45.0,FISICA,-99.02064,19.18992
8339268.0,8.0,Agosto,2018.0,29/08/2018,32400.0,FRAUDE,VICTIMA Y DENUNCIANTE,DELITO DE BAJO IMPACTO,SAN JERÓNIMO MIACATLÁN,MILPA ALTA,Masculino,79.0,FISICA,-99.00968,19.19311
